"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"CATHERINE AND COUNT BASIE MIDDLE SCHOOL 72","QUEENS",342,282,22,99,"amind",20
"CAYUGA HEIGHTS ELEMENTARY SCHOOL","ERIE",851,452,14,113,"amind",3
"CAYUGA HEIGHTS ELEMENTARY SCHOOL","ERIE",352,138,8,64,"amind",1
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC (THE)","BRONX",423,369,24,100,"amind",3
"CENTRAL BROOKLYN ASCEND CHARTER","KINGS",553,459,36,86,"amind",14
"CENTRAL PARK EAST HIGH SCHOOL","NEW YORK",512,407,9,83,"amind",6
"CENTRAL PARK EAST I","NEW YORK",153,66,8,42,"amind",0
"CENTRAL PARK EAST II","NEW YORK",450,235,15,128,"amind",2
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL","QUEENS",420,360,38,38,"amind",1
"CHALLENGE PREPARATORY CHARTER SCHOOL","QUEENS",791,631,22,127,"amind",8
"CHANNEL VIEW SCHOOL FOR RESEARCH","QUEENS",961,712,20,122,"amind",14
"CHARLES A LINDBERGH ELEMENTARY SCHOOL","ERIE",503,203,6,74,"amind",1
"CHARLES H ROTH MIDDLE SCHOOL","MONROE",610,306,20,65,"amind",2
"CHARLOTTE AVENUE ELEMENTARY SCHOOL","ERIE",264,63,0,46,"amind",0
"CHARLOTTE SIDWAY SCHOOL","ERIE",377,86,13,27,"amind",0
"CHARTER HIGH SCHOOL-LAW AND SOCIAL","BRONX",422,329,42,54,"amind",26
"CHARTER SCHOOL FOR APPLIED TECHNOLOGIES","ERIE",2264,1738,122,242,"amind",24
"CHARTER SCHOOL OF INQUIRY","ERIE",239,219,3,24,"amind",2
"CHEEKTOWAGA HIGH SCHOOL","ERIE",686,440,20,119,"amind",2
"CHEEKTOWAGA MIDDLE SCHOOL","ERIE",617,411,23,102,"amind",1
"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","NEW YORK",453,368,18,99,"amind",1
"CHESTNUT RIDGE ELEMENTARY SCHOOL","MONROE",545,197,19,35,"amind",1
"CHILDREN'S AID COLLEGE PREPARATORY CHARTER SCHOOL","BRONX",586,452,54,130,"amind",8
"CHILDREN'S LAB SCHOOL (THE)","QUEENS",409,337,125,92,"amind",1
"CHILDREN'S WORKSHOP SCHOOL (THE)","NEW YORK",288,143,11,78,"amind",1
"CHRISTOPHER AVENUE COMMUNITY SCHOOL","KINGS",237,233,13,73,"amind",1
"CHURCHVILLE ELEMENTARY SCHOOL","MONROE",389,172,0,40,"amind",0
"CHURCHVILLE-CHILI MIDDLE SCHOOL","MONROE",1192,387,20,147,"amind",2
"CHURCHVILLE-CHILI SENIOR HIGH SCHOOL","MONROE",1208,375,4,139,"amind",1
"CINEMA SCHOOL (THE)","BRONX",318,249,17,68,"amind",19
"CITY COLLEGE ACADEMY OF THE ARTS","NEW YORK",611,501,33,91,"amind",2
"CITY HONORS SCHOOL AT FOSDICK MASTEN PARK","ERIE",1083,368,3,120,"amind",6
"CITY KNOLL MIDDLE SCHOOL","NEW YORK",180,148,20,61,"amind",2
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE AND TECHNOLOGY","KINGS",430,326,7,90,"amind",5
"CIVIC LEADERSHIP ACADEMY","QUEENS",591,456,37,119,"amind",0
"CLARA BARTON HIGH SCHOOL","KINGS",1212,928,95,222,"amind",13
"CLAREMONT INTERNATIONAL HIGH SCHOOL","BRONX",341,336,276,24,"amind",0
"CLARENCE CENTER ELEMENTARY SCHOOL","ERIE",376,42,0,35,"amind",1
"CLARENCE MIDDLE SCHOOL","ERIE",1042,160,4,145,"amind",1
"CLARENCE SENIOR HIGH SCHOOL","ERIE",1467,173,3,194,"amind",4
"CLEVELAND HILL ELEMENTARY SCHOOL","ERIE",583,386,29,88,"amind",6
