"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","5","ELA",101,616,599,9.31679134957118,1.82466252190809
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","5","Math",101,634,600,10.5199311573998,3.23196031336044
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","6","ELA",61,619,598,10.1228499667514,2.0745145950967
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","6","Math",61,627,600,10.2858259807726,2.62497149479988
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","7","ELA",57,623,600,9.83761226983842,2.33796569422814
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","7","Math",57,631,601,10.6493744935478,2.81706686323937
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","8","ELA",53,624,600,9.19627210164209,2.60975314070084
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","3","ELA",91,617,600,8.93549570747314,1.90252455560828
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","3","Math",92,622,600,9.56336548656681,2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","4","ELA",78,613,599,9.0234455676591,1.55151376434046
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","4","Math",78,621,600,10.3950780607035,2.02018684971556
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","5","ELA",123,612,599,9.31679134957118,1.39533016381207
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","5","Math",124,619,600,10.5199311573998,1.80609546923083
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","6","ELA",56,614,598,10.1228499667514,1.58058254864511
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3","6","Math",56,623,600,10.2858259807726,2.2360868289036
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","3","ELA",50,617,600,8.93549570747314,1.90252455560828
"SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK","3","Math",49,622,600,9.56336548656681,2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","3","ELA",72,623,600,8.93549570747314,2.57400381052885
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","3","Math",71,626,600,9.56336548656681,2.71870818244068
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","4","ELA",59,619,599,9.0234455676591,2.21644823477209
"SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL","4","Math",59,629,600,10.3950780607035,2.78978184008339
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","3","ELA",90,622,600,8.93549570747314,2.46209060137542
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","3","Math",90,624,600,9.56336548656681,2.5095767837914
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","4","ELA",75,613,599,9.0234455676591,1.55151376434046
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","4","Math",75,631,600,10.3950780607035,2.98218058767535
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","5","ELA",112,611,599,9.31679134957118,1.28799707428806
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","5","Math",111,625,600,10.5199311573998,2.37644140688268
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","6","ELA",82,617,598,10.1228499667514,1.87694177651607
"SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS","6","Math",82,630,600,10.2858259807726,2.91663499422208
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","3","ELA",82,611,600,8.93549570747314,1.23104530068771
"SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY","3","Math",82,616,600,9.56336548656681,1.67305118919426
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","3","ELA",47,621,600,8.93549570747314,2.35017739222199
"SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH","3","Math",47,628,600,9.56336548656681,2.92783958108996
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","3","ELA",68,618,600,8.93549570747314,2.01443776476171
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","3","Math",68,621,600,9.56336548656681,2.19587968581747
"SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE","4","ELA",43,619,599,9.0234455676591,2.21644823477209
